name,active_from,active_to,career_length,birth_date,position,trad_position,ppg,trb,ast,fgp,per,ws,height_inches,weight,shooting_hand,hof,college,hs_name,hs_city,hs_state,url
Bill Curley,1994,2001,7,1972-05-29,Small Forward,Forward,2.7,2.0,0.4,44.4,8.2,1.6,81.0,220.0,Right,0.0,Boston College,Duxbury ,Duxbury,Massachusetts,/players/c/curlebi01.html
Fran Curran,1948,1950,2,1922-09-09,Point Guard,Guard,4.9,,1.2,39.5,,9.2,72.0,175.0,Right,0.0,University of Notre Dame,Luzerne ,Luzerne,Pennsylvania,/players/c/currafr01.html
Dell Curry,1986,2002,16,1964-06-25,Shooting Guard,Guard,11.7,2.4,1.8,45.7,16.0,41.5,76.0,190.0,Right,0.0,Virginia Polytechnic Institute and State University,Fort Defiance ,Fort Defiance,Virginia,/players/c/curryde01.html
Eddy Curry,2001,2013,12,1982-12-05,Power Forward,Forward,12.9,5.2,0.5,54.5,15.9,21.7,84.0,295.0,Right,0.0,,Thornwood ,South Holland,Illinois,/players/c/curryed01.html
JamesOn Curry,2009,2010,1,1986-01-07,Point Guard,Guard,0.0,0.0,0.0,,,0.0,75.0,190.0,Right,0.0,Oklahoma State University,Eastern Alamance ,Mebane,North Carolina,/players/c/curryja01.html
Michael Curry,1993,2005,12,1968-08-22,Small Forward,Forward,4.5,1.6,1.2,44.7,7.5,17.8,77.0,210.0,Right,0.0,Georgia Southern University,Glenn Hills ,Augusta,Georgia,/players/c/currymi01.html
Seth Curry,2013,2019,6,1990-08-23,Shooting Guard,Guard,9.3,1.9,1.7,46.7,13.8,8.4,74.0,185.0,Right,0.0,"Liberty University, Duke University",Charlotte Christian ,Charlotte,North Carolina,/players/c/curryse01.html
Stephen Curry,2009,2019,10,1988-03-14,Point Guard,Guard,23.5,4.5,6.6,47.7,23.8,102.9,75.0,190.0,Right,0.0,Davidson College,Charlotte Christian ,Charlotte,North Carolina,/players/c/curryst01.html
Rastko Cvetkovic,1995,1996,1,1970-06-22,Center,Center,0.7,0.8,0.2,31.3,2.1,-0.1,85.0,260.0,Right,0.0,,,,,/players/c/cvetkra01.html
Mike D'Antoni,1973,1977,4,1951-05-08,Shooting Guard,Guard,3.4,1.5,2.0,41.4,10.2,2.0,75.0,185.0,Right,0.0,Marshall University,Mullens ,Mullens,West Virginia,/players/d/dantomi01.html
Mike Dabich,1967,1968,1,1942-12-27,Center,Center,2.0,1.3,0.2,66.7,12.0,0.2,84.0,242.0,Right,0.0,New Mexico State University,,,,/players/d/dabicmi01.html
Ed Dahler,1951,1952,1,1926-01-31,Small Forward,Forward,2.5,1.6,0.4,36.8,10.3,0.1,77.0,190.0,Left,0.0,Duquesne University,Hillsboro ,Hillsboro,Illinois,/players/d/dahleed01.html
Quintin Dailey,1982,1992,10,1961-01-22,Shooting Guard,Guard,14.1,2.5,2.3,45.4,15.1,12.7,75.0,180.0,Right,0.0,University of San Francisco,Cardinal Gibbons ,Baltimore,Maryland,/players/d/dailequ01.html
Samuel Dalembert,2001,2015,14,1981-05-10,Center,Center,7.7,7.8,0.5,52.1,15.4,51.3,83.0,255.0,Right,0.0,Seton Hall University,Saint Patrick ,Elizabeth,New Jersey,/players/d/dalemsa01.html
Howie Dallmar,1946,1949,3,1922-05-24,Small Forward,Forward,9.6,,2.3,28.3,,15.1,76.0,200.0,Right,0.0,Stanford University,Lowell ,San Francisco,California,/players/d/dallmho01.html
Erick Dampier,1996,2012,16,1975-07-14,Center,Center,7.4,7.1,0.8,49.8,14.3,52.7,83.0,265.0,Right,0.0,Mississippi State University,Lawrence County ,Monticello,Mississippi,/players/d/dampier01.html
Louie Dampier,1967,1979,12,1944-11-20,Point Guard,Guard,15.9,2.6,4.9,44.4,15.2,74.1,72.0,170.0,Right,1.0,University of Kentucky,Southport ,Indianapolis,Indiana,/players/d/dampilo01.html
Bob Dandridge,1969,1982,13,1947-11-15,Small Forward,Forward,18.5,6.8,3.4,48.4,16.7,80.3,78.0,195.0,Right,0.0,Norfolk State University,Maggie Walker ,Richmond,Virginia,/players/d/dandrbo01.html
Antonio Daniels,1997,2011,14,1975-03-19,Shooting Guard,Guard,7.6,1.8,3.4,44.4,14.6,47.0,76.0,195.0,Right,0.0,Bowling Green State University,Saint Francis DeSales ,Columbus,Ohio,/players/d/daniean01.html
Erik Daniels,2004,2005,1,1982-04-01,Small Forward,Forward,0.6,0.9,0.2,33.3,4.6,-0.1,80.0,214.0,Left,0.0,University of Kentucky,Princeton ,Cincinnati,Ohio,/players/d/danieer01.html
Lloyd Daniels,1992,1998,6,1967-09-04,Shooting Guard,Guard,7.1,2.2,1.6,40.3,11.5,3.3,79.0,205.0,Right,0.0,Mount San Antonio College,Andrew Jackson ,Queens,New York,/players/d/daniell01.html
Marquis Daniels,2003,2013,10,1981-01-07,Shooting Guard,Guard,7.9,2.8,1.8,45.1,12.9,16.5,78.0,200.0,Right,0.0,Auburn University,Mount Zion Christian Academy ,Durham,North Carolina,/players/d/daniema01.html
Mel Daniels,1967,1977,10,1944-07-20,Center,Center,18.4,14.9,1.8,46.8,20.1,64.8,81.0,220.0,Right,1.0,University of New Mexico,Pershing ,Detroit,Michigan,/players/d/danieme01.html
Troy Daniels,2013,2019,6,1991-07-15,Shooting Guard,Guard,7.0,1.3,0.6,40.2,10.6,4.5,76.0,205.0,Right,0.0,Virginia Commonwealth University,William Fleming ,Roanoke,Virginia,/players/d/danietr01.html
Sasha Danilovic,1995,1997,2,1970-02-26,Shooting Guard,Guard,12.8,2.4,2.0,43.9,11.7,4.2,77.0,200.0,Right,0.0,,Cookeville ,Cookeville,Tennessee,/players/d/danilsa01.html
Adrian Dantley,1976,1991,15,1956-02-28,Small Forward,Forward,24.3,5.7,3.0,54.0,21.5,134.2,77.0,208.0,Right,1.0,University of Notre Dame,DeMatha Catholic ,Hyattsville,Maryland,/players/d/dantlad01.html
Pete Darcey,1952,1953,1,1930-03-03,Center,Center,0.9,0.8,0.2,16.7,-5.7,-0.2,79.0,217.0,Right,0.0,Oklahoma State University,,,,/players/d/darcepe01.html
Jimmy Darden,1949,1950,1,1922-06-19,Point Guard,Guard,8.1,,2.6,32.1,,-0.2,73.0,170.0,Right,0.0,University of Denver,Cheyenne ,Cheyenne,Wyoming,/players/d/dardeji01.html
Ollie Darden,1967,1970,3,1944-07-28,Power Forward,Forward,9.2,6.2,1.0,43.5,13.4,7.7,79.0,235.0,Right,0.0,University of Michigan,Western ,Detroit,Michigan,/players/d/dardeol01.html
Yinka Dare,1994,1998,4,1972-10-10,Center,Center,2.1,2.6,0.0,39.6,6.2,-0.7,84.0,265.0,Right,0.0,George Washington University,Milford Academy ,Milford,Connecticut,/players/d/dareyi01.html
Jesse Dark,1974,1975,1,1951-09-02,Shooting Guard,Guard,3.6,0.8,0.6,47.1,11.0,0.3,77.0,210.0,Right,0.0,Virginia Commonwealth University,Maggie Walker ,Richmond,Virginia,/players/d/darkje01.html
Rick Darnell,1975,1976,1,1953-01-01,Center,Center,2.4,3.3,0.8,36.7,4.7,-0.1,82.0,215.0,Right,0.0,San Jose State University,,,,/players/d/darneri01.html
Jimmy Darrow,1961,1962,1,1937-09-25,Point Guard,Guard,2.4,1.4,1.2,20.0,5.9,-0.1,70.0,170.0,Right,0.0,Bowling Green State University,Akron South ,Akron,Ohio,/players/d/darroji01.html
Luigi Datome,2013,2015,2,1987-11-27,Small Forward,Forward,3.4,1.4,0.4,41.4,11.3,0.3,80.0,215.0,Right,0.0,,,,,/players/d/datomlu01.html
Brad Daugherty,1986,1994,8,1965-10-19,Center,Center,19.0,9.5,3.7,53.2,18.9,65.2,84.0,245.0,Right,0.0,University of North Carolina,Charles D. Owen ,Swannanoa,North Carolina,/players/d/daughbr01.html
Mack Daughtry,1970,1971,1,,Point Guard,Guard,3.3,1.3,0.8,40.0,11.9,0.1,75.0,175.0,Right,0.0,Albany State University,Nashville ,Nashville,Georgia,/players/d/daughma01.html
Kornel David,1998,2001,3,1971-10-22,Small Forward,Forward,5.0,2.8,0.6,44.6,12.5,2.5,81.0,235.0,Right,0.0,,,,,/players/d/davidko01.html
Jermareo Davidson,2007,2009,2,1984-11-15,Small Forward,Forward,3.1,1.8,0.3,42.5,10.5,0.0,82.0,230.0,Right,0.0,University of Alabama,Wheeler ,Atlanta,Georgia,/players/d/davidje01.html
Bob Davies,1948,1955,7,1920-01-15,Point Guard,Guard,14.3,2.9,4.9,37.8,18.0,49.7,73.0,175.0,Right,1.0,Seton Hall University,John Harris ,Harrisburg,Pennsylvania,/players/d/daviebo01.html
Brandon Davies,2013,2015,2,1991-07-25,Power Forward,Forward,3.7,2.5,0.7,41.1,8.7,0.3,82.0,240.0,Right,0.0,Brigham Young University,Provo High School ,Provo,Utah,/players/d/daviebr01.html
Anthony Davis,2012,2019,7,1993-03-11,Power Forward,Forward,23.7,10.5,2.1,51.7,27.4,72.0,82.0,253.0,Right,0.0,University of Kentucky,Perspectives Charter School ,Chicago,Illinois,/players/d/davisan02.html
Antonio Davis,1993,2006,13,1968-10-31,Power Forward,Forward,10.0,7.5,1.1,44.8,14.1,59.6,81.0,215.0,Right,0.0,University of Texas at El Paso,McClymonds ,Oakland,California,/players/d/davisan01.html
Aubrey Davis,1946,1947,1,1921-03-28,Point Guard,Guard,4.9,,0.2,28.1,,3.9,74.0,175.0,Right,0.0,Oklahoma Baptist University,,,,/players/d/davisau01.html
Baron Davis,1999,2012,13,1979-04-13,Point Guard,Guard,16.1,3.8,7.2,40.9,17.8,63.1,75.0,209.0,Right,0.0,"University of California, Los Angeles",Crossroads ,Santa Monica,California,/players/d/davisba01.html
Ben Davis,1996,2000,4,1972-12-26,Power Forward,Forward,1.4,1.3,0.1,35.6,12.5,0.1,81.0,240.0,Right,0.0,"University of Kansas, University of Arizona",Oak Hill Academy ,Mouth of Wilson,Virginia,/players/d/davisbe01.html
Bill Davis,1946,1947,1,1920-10-03,Small Forward,Forward,1.8,,0.2,24.0,,0.2,75.0,215.0,Right,0.0,University of Notre Dame,,,,/players/d/davisbi01.html
Bob Davis,1972,1973,1,1950-04-02,Small Forward,Forward,1.8,0.6,0.2,21.4,-1.0,-0.3,79.0,215.0,Right,0.0,Weber State University,,,,/players/d/davisbo01.html
Brad Davis,1977,1992,15,1955-12-17,Point Guard,Guard,8.2,1.8,4.9,51.0,14.7,53.6,75.0,180.0,Right,0.0,University of Maryland,Monaca ,Monaca,Pennsylvania,/players/d/davisbr01.html
Brian Davis,1993,1994,1,1970-06-21,Small Forward,Forward,1.9,0.8,0.3,31.7,9.2,0.0,79.0,200.0,Right,0.0,Duke University,Bladensburg ,Bladensburg,Maryland,/players/d/davisbr02.html
Charles Davis,1981,1990,9,1958-10-05,Small Forward,Forward,5.3,2.4,0.7,45.1,11.6,5.8,79.0,215.0,Right,0.0,Vanderbilt University,McGavock ,Nashville,Tennessee,/players/d/davisch02.html
Charlie Davis,1971,1974,3,1949-09-07,Shooting Guard,Guard,8.9,1.5,2.2,40.8,11.9,1.4,74.0,160.0,Right,0.0,Wake Forest University,Laurinburg Institute ,Laurinburg,North Carolina,/players/d/davisch01.html
Dale Davis,1991,2007,16,1969-03-25,Center,Center,8.0,7.9,0.9,53.0,15.2,86.9,83.0,230.0,Right,0.0,Clemson University,Stephens County ,Toccoa,Georgia,/players/d/davisda01.html
Deyonta Davis,2016,2019,3,1996-12-02,Center,Center,4.2,3.2,0.4,59.9,15.4,3.6,83.0,237.0,Right,0.0,Michigan State University,Muskegon ,Muskegon,Michigan,/players/d/davisde01.html
Dwight Davis,1972,1977,5,1949-10-28,Power Forward,Forward,8.6,5.9,1.6,42.3,12.3,11.4,80.0,220.0,Right,0.0,University of Houston,Evan E. Worthing ,Houston,Texas,/players/d/davisdw01.html
Ed Davis,2010,2019,9,1989-06-05,Center,Center,6.5,6.8,0.8,56.9,16.7,41.3,82.0,225.0,Left,0.0,University of North Carolina,Benedictine ,Richmond,Virginia,/players/d/davised01.html
Emanual Davis,1996,2003,7,1968-08-27,Shooting Guard,Guard,4.9,1.9,1.8,39.4,9.6,2.5,76.0,195.0,Right,0.0,Delaware State University,Kensington ,Philadelphia,Pennsylvania,/players/d/davisem01.html
Glen Davis,2007,2015,8,1986-01-01,Power Forward,Forward,8.0,4.4,0.9,44.7,12.4,18.6,81.0,289.0,Right,0.0,Louisiana State University,Louisiana State University Laboratory School ,Baton Rouge,Louisiana,/players/d/davisgl01.html
Harry Davis,1978,1980,2,1956-01-27,Small Forward,Forward,4.0,1.6,0.4,43.6,10.3,0.3,79.0,220.0,Right,0.0,Florida State University,Cathedral Latin ,Cleveland,Ohio,/players/d/davisha01.html
Hubert Davis,1992,2004,12,1970-05-17,Shooting Guard,Guard,8.2,1.5,1.7,45.8,11.8,27.7,77.0,183.0,Right,0.0,University of North Carolina,Lake Braddock Secondary ,Burke,Virginia,/players/d/davishu01.html
Jim Davis,1967,1975,8,1941-12-18,Center,Center,6.7,5.2,1.2,46.1,14.2,19.2,81.0,225.0,Right,0.0,University of Colorado,Muncie Central ,Muncie,Indiana,/players/d/davisji01.html
Johnny Davis,1976,1986,10,1955-10-21,Point Guard,Guard,12.9,2.0,4.5,44.8,14.3,38.5,74.0,170.0,Right,0.0,University of Dayton,Murray-Wright ,Detroit,Michigan,/players/d/davisjo01.html
Josh Davis,2003,2012,9,1980-08-10,Power Forward,Forward,2.3,1.7,0.3,37.3,11.0,0.8,80.0,235.0,Right,0.0,University of Wyoming,Salem Academy ,Salem,Oregon,/players/d/davisjo02.html
Lee Davis,1968,1976,8,1945-10-11,Power Forward,Forward,7.8,4.8,1.0,48.2,15.0,12.7,80.0,235.0,Right,0.0,North Carolina Central University,Ligon ,Raleigh,North Carolina,/players/d/davisle01.html
Mark Davis,1988,1989,1,1963-06-08,Small Forward,Forward,3.8,1.1,0.4,48.0,15.0,0.7,78.0,195.0,Right,0.0,Old Dominion University,Great Bridge ,Chesapeake,Virginia,/players/d/davisma01.html
Mark Davis,1995,2000,5,1973-04-26,Small Forward,Forward,5.5,3.0,1.3,44.2,11.9,2.3,79.0,210.0,Right,0.0,"Howard College, Texas Tech University",Thibodaux ,Thibodaux,Louisiana,/players/d/davisma02.html
Mel Davis,1973,1977,4,1950-11-09,Power Forward,Forward,5.3,4.3,0.9,37.6,12.0,0.3,78.0,220.0,Right,0.0,St. John's University,Boys ,Brooklyn,New York,/players/d/davisme01.html
Mickey Davis,1971,1977,6,1950-06-16,Small Forward,Forward,5.0,2.7,1.0,45.5,13.9,8.8,79.0,195.0,Right,0.0,Duquesne University,Monaca ,Monaca,Pennsylvania,/players/d/davismi02.html
Mike Davis,1969,1973,4,1946-07-26,Shooting Guard,Guard,10.1,2.1,1.7,42.4,12.2,5.0,75.0,185.0,Right,0.0,Virginia Union University,Eastern District ,Brooklyn,New York,/players/d/davismi01.html
Mike Davis,1982,1983,1,1956-08-02,Power Forward,Forward,1.8,1.3,0.0,40.0,21.1,0.1,82.0,230.0,Right,0.0,University of Maryland,Bishop Mose Davis ,Jacksonville,Florida,/players/d/davismi03.html
Monti Davis,1980,1981,1,1958-07-26,Power Forward,Forward,1.5,2.0,0.0,20.0,4.5,-0.1,79.0,205.0,Right,0.0,Tennessee State University,Harding ,Warren,Ohio,/players/d/davismo01.html
Paul Davis,2006,2010,4,1984-07-21,Center,Center,2.6,1.9,0.4,40.2,10.6,0.5,83.0,270.0,Right,0.0,Michigan State University,Rochester ,Rochester,Michigan,/players/d/davispa01.html
Ralph Davis,1960,1962,2,1938-09-07,Shooting Guard,Guard,8.0,1.7,2.8,40.9,9.3,0.4,76.0,180.0,Right,0.0,University of Cincinnati,Lewis County ,Vanceburg,Kentucky,/players/d/davisra01.html
Red Davis,1955,1956,1,1932-04-22,Center,Center,0.7,1.3,0.3,0.0,-3.3,-0.1,79.0,220.0,Right,0.0,St. John's University,Manhattan College High School ,New York,New York,/players/d/davisre01.html
Ricky Davis,1998,2010,12,1979-09-23,Shooting Guard,Guard,13.5,3.5,3.3,44.6,14.7,28.0,78.0,195.0,Right,0.0,University of Iowa,North ,Davenport,Iowa,/players/d/davisri01.html
Ron Davis,1976,1982,6,1954-05-01,Small Forward,Forward,5.3,1.8,0.7,42.0,10.7,0.1,78.0,198.0,Right,0.0,Washington State University,Maryvale ,Phoenix,Arizona,/players/d/davisro01.html
Terry Davis,1989,2001,12,1967-06-17,Power Forward,Forward,6.4,6.0,0.6,47.2,10.9,12.1,81.0,225.0,Left,0.0,Virginia Union University,Halifax County ,South Boston,Virginia,/players/d/daviste01.html
Tyler Davis,2018,2019,1,1997-05-22,Center,Center,0.0,1.0,0.0,0.0,0.0,0.0,82.0,266.0,Right,0.0,Texas A&M University,Plano West HS ,Plano,Texas,/players/d/davisty01.html
Walt Davis,1953,1958,5,1931-01-05,Center,Center,4.8,4.3,0.7,37.7,9.5,4.8,80.0,205.0,Right,0.0,Texas A&M University,Nederland ,Nederland,Texas,/players/d/daviswa01.html
Walter Davis,1977,1992,15,1954-09-09,Shooting Guard,Guard,18.9,3.0,3.8,51.1,19.1,76.9,78.0,193.0,Right,0.0,University of North Carolina,South Mecklenburg ,Charlotte,North Carolina,/players/d/daviswa03.html
Warren Davis,1967,1973,6,1943-06-30,Small Forward,Forward,12.2,9.2,2.1,48.0,15.4,29.5,78.0,212.0,Right,0.0,North Carolina Agricultural and Technical State University,Atlantic City ,Atlantic City,New Jersey,/players/d/daviswa02.html
Willie Davis,1970,1971,1,1945-08-09,Center,Center,2.3,1.6,0.3,46.7,16.4,0.0,80.0,234.0,Right,0.0,University of North Texas,,,,/players/d/daviswi01.html
Andre Dawkins,2014,2015,1,1991-09-19,Shooting Guard,Guard,0.8,0.5,0.3,16.7,-5.0,-0.1,77.0,215.0,Right,0.0,Duke University,Atlantic Shores Christian ,Chesapeake,Virginia,/players/d/dawkian01.html
Darryl Dawkins,1975,1989,14,1957-01-11,Center,Center,12.0,6.1,1.3,57.2,15.8,46.4,83.0,251.0,Right,0.0,,Evans ,Orlando,Florida,/players/d/dawkida01.html
Johnny Dawkins,1986,1995,9,1963-09-28,Point Guard,Guard,11.1,2.5,5.5,45.6,14.7,21.8,74.0,165.0,Left,0.0,Duke University,Mackin ,Washington,District of Columbia,/players/d/dawkijo01.html
Paul Dawkins,1979,1980,1,1957-06-10,Small Forward,Forward,5.5,2.2,1.4,47.0,11.0,-0.1,77.0,190.0,Right,0.0,Northern Illinois University,Saginaw ,Saginaw,Michigan,/players/d/dawkipa01.html
Branden Dawson,2015,2016,1,1993-02-01,Power Forward,Forward,0.8,0.7,0.0,40.0,7.1,0.0,78.0,225.0,Right,0.0,Michigan State University,Lew Wallace ,Gary,Indiana,/players/d/dawsobr01.html
Eric Dawson,2011,2012,1,1984-07-07,Center,Center,3.8,2.5,0.0,58.3,14.6,0.1,81.0,250.0,Right,0.0,Midwestern State University,Sam Houston ,San Antonio,Texas,/players/d/dawsoer01.html
Jimmy Dawson,1967,1968,1,1945-04-18,Point Guard,Guard,5.6,1.0,1.5,34.6,9.4,-0.3,72.0,175.0,Right,0.0,University of Illinois at Urbana-Champaign,York Community ,Elmhurst,Illinois,/players/d/dawsoji01.html
Tony Dawson,1990,1995,5,1967-08-25,Small Forward,Forward,2.8,0.8,0.2,46.7,11.6,0.0,79.0,215.0,Right,0.0,Florida State University,Kinston ,Kinston,North Carolina,/players/d/dawsoto01.html
Todd Day,1992,2001,9,1970-01-07,Shooting Guard,Guard,12.3,3.4,1.5,40.6,14.1,17.5,78.0,188.0,Right,0.0,University of Arkansas,Hamilton ,Memphis,Tennessee,/players/d/dayto01.html
Austin Daye,2009,2015,6,1988-06-05,Small Forward,Forward,5.2,2.6,0.7,40.2,11.6,4.5,83.0,220.0,Right,0.0,Gonzaga University,Woodbridge ,Irvine,California,/players/d/dayeau01.html
Darren Daye,1983,1988,5,1960-11-30,Small Forward,Forward,6.8,2.6,2.0,49.1,13.9,9.3,80.0,220.0,Right,0.0,"University of California, Los Angeles",John F. Kennedy ,Granada Hills,California,/players/d/dayeda01.html
Nando De Colo,2012,2014,2,1987-06-23,Small Forward,Forward,3.8,1.8,1.7,42.9,11.8,2.4,77.0,200.0,Right,0.0,,,,,/players/d/decolna01.html
Greg Deane,1979,1980,1,1957-12-06,Shooting Guard,Guard,1.4,0.9,0.9,18.2,4.5,-0.1,76.0,190.0,Right,0.0,University of Utah,Union ,Tulare,California,/players/d/deanegr01.html
Billy DeAngelis,1970,1971,1,1946-10-05,Point Guard,Guard,1.3,0.8,1.0,50.0,3.1,0.1,73.0,180.0,Right,0.0,Saint Joseph's University,,,,/players/d/deangbi01.html
Dave DeBusschere,1962,1974,12,1940-10-16,Power Forward,Forward,16.1,11.0,2.9,43.2,15.5,60.8,78.0,220.0,Right,1.0,University of Detroit Mercy,Austin Catholic ,Detroit,Michigan,/players/d/debusda01.html
Andrew DeClercq,1995,2005,10,1973-02-01,Center,Center,4.8,4.2,0.6,50.7,12.1,19.3,82.0,230.0,Right,0.0,University of Florida,Countryside ,Clearwater,Florida,/players/d/declean01.html
Dewayne Dedmon,2013,2019,6,1989-08-12,Center,Center,6.5,6.0,0.7,53.3,15.4,17.5,84.0,245.0,Right,0.0,University of Southern California,Lancaster HS ,Lancaster,California,/players/d/dedmode01.html
Don Dee,1968,1969,1,1943-08-09,Power Forward,Forward,5.7,5.0,0.6,35.7,7.0,-0.3,80.0,210.0,Right,0.0,Saint Mary of the Plains College,,,,/players/d/deedo01.html
Archie Dees,1958,1962,4,1936-02-22,Power Forward,Forward,8.1,4.8,0.7,40.2,13.7,4.8,80.0,205.0,Right,0.0,Indiana University,Mount Carmel ,Mount Carmel,Illinois,/players/d/deesar01.html
Terry Dehere,1993,1999,6,1971-09-12,Shooting Guard,Guard,8.0,1.5,2.6,41.1,12.7,7.3,74.0,190.0,Right,0.0,Seton Hall University,Saint Anthony's ,Jersey City,New Jersey,/players/d/deherte01.html
Red Dehnert,1946,1947,1,1924-01-24,Small Forward,Forward,1.4,,0.0,40.0,,0.1,75.0,175.0,Right,0.0,Columbia University,,,,/players/d/dehnere01.html
Bryce Dejean-Jones,2015,2016,1,1992-08-21,Shooting Guard,Guard,5.6,3.4,1.1,40.6,9.6,0.2,78.0,209.0,Right,0.0,"University of Southern California, University of Nevada, Las Vegas, Iowa State University",Taft ,Woodland Hills,California,/players/d/dejeabr01.html
Sam Dekker,2015,2019,4,1994-05-06,Power Forward,Forward,5.5,3.0,0.8,47.8,12.7,5.4,81.0,230.0,Right,0.0,University of Wisconsin,Sheboygan Lutheran ,Sheboygan,Wisconsin,/players/d/dekkesa01.html
Vinny Del Negro,1988,2002,14,1966-08-09,Point Guard,Guard,9.1,2.3,3.2,47.5,13.5,40.6,76.0,185.0,Right,0.0,North Carolina State University,Suffield Academy ,Suffield,Connecticut,/players/d/delnevi01.html
Malcolm Delaney,2016,2018,2,1989-03-11,Point Guard,Guard,5.7,1.8,2.8,37.7,8.9,1.1,75.0,190.0,Right,0.0,Virginia Polytechnic Institute and State University,Towson Catholic ,Towson,Maryland,/players/d/delanma01.html
Bison Dele,1991,1999,8,1969-04-06,Power Forward,Forward,11.0,6.2,1.1,52.8,16.5,22.8,81.0,235.0,Left,0.0,"University of Maryland, University of Arizona",Santa Monica ,Santa Monica,California,/players/d/delebi01.html
Carlos Delfino,2004,2013,9,1982-08-29,Small Forward,Forward,8.1,3.6,1.7,40.1,12.6,22.5,78.0,230.0,Right,0.0,,,,,/players/d/delfica01.html
Angel Delgado,2018,2019,1,1994-11-20,Center,Center,1.5,2.0,0.0,20.0,4.3,0.0,82.0,245.0,Right,0.0,Seton Hall University,The Patrick School ,Hillside,New Jersey,/players/d/delgaan01.html
Tony Delk,1996,2006,10,1974-01-28,Shooting Guard,Guard,9.1,2.5,1.9,40.8,13.7,19.5,73.0,189.0,Right,0.0,University of Kentucky,Haywood ,Brownsville,Tennessee,/players/d/delkto01.html
Matthew Dellavedova,2013,2019,6,1990-09-08,Shooting Guard,Guard,6.0,1.9,3.7,39.2,10.0,9.9,76.0,200.0,Right,0.0,Saint Mary's College of California,,,,/players/d/dellama01.html
Nate DeLong,1951,1952,1,1926-01-05,Center,Center,3.8,1.8,0.8,47.6,21.1,0.8,78.0,220.0,Right,0.0,University of Wisconsin-River Falls,,,,/players/d/delonna01.html
Fennis Dembo,1988,1989,1,1966-01-24,Small Forward,Forward,1.2,0.7,0.2,33.3,7.8,-0.1,77.0,215.0,Right,0.0,University of Wyoming,Fox Tech ,San Antonio,Texas,/players/d/dembofe01.html
Larry Demic,1979,1982,3,1957-06-27,Power Forward,Forward,4.7,3.9,0.5,45.9,8.1,1.4,81.0,225.0,Right,0.0,University of Arizona,West Side ,Gary,Indiana,/players/d/demicla01.html
Dell Demps,1993,1997,4,1970-02-12,Point Guard,Guard,3.0,0.5,0.5,50.0,14.4,0.1,75.0,205.0,Right,0.0,University of the Pacific,Mount Eden ,Hayward,California,/players/d/dempsde01.html
George Dempsey,1954,1959,5,1929-07-19,Shooting Guard,Guard,5.0,3.6,2.3,40.7,12.3,10.8,74.0,190.0,Right,0.0,King's College,Merchantville ,Merchantville,New Jersey,/players/d/dempsge01.html
Luol Deng,2004,2019,15,1985-04-16,Power Forward,Forward,14.8,6.1,2.3,45.6,15.4,74.0,81.0,237.0,Right,0.0,Duke University,Blair Academy ,Blairstown,New Jersey,/players/d/denglu01.html
Kenny Dennard,1981,1984,3,1958-10-18,Power Forward,Forward,2.8,3.0,1.0,42.9,9.3,1.4,80.0,220.0,Right,0.0,Duke University,South Stokes ,Walnut Cove,North Carolina,/players/d/dennake01.html
Blaine Denning,1952,1953,1,1930-09-19,Point Guard,Guard,5.0,4.0,0.0,40.0,18.9,0.0,74.0,175.0,Left,0.0,Lawrence Technological University,Northern ,Detroit,Michigan,/players/d/dennibl01.html
Justin Dentmon,2011,2013,2,1985-09-05,Point Guard,Guard,3.3,1.0,1.3,33.3,3.8,-0.1,71.0,185.0,Right,0.0,University of Washington,Winchendon School ,Winchendon,Massachusetts,/players/d/dentmju01.html
Randy Denton,1971,1977,6,1949-02-18,Center,Center,11.5,8.6,1.3,47.3,17.3,20.2,82.0,240.0,Right,0.0,Duke University,Enloe ,Raleigh,North Carolina,/players/d/dentora01.html
Joe DePre,1970,1973,3,1947-12-19,Shooting Guard,Guard,7.0,1.9,1.6,47.7,7.6,3.0,75.0,185.0,Right,0.0,St. John's University,Westbury ,Westbury,New York,/players/d/deprejo01.html
Rod Derline,1974,1976,2,1952-03-11,Shooting Guard,Guard,4.8,0.8,0.7,41.9,12.7,0.8,72.0,175.0,Right,0.0,Seattle University,Elma ,Elma,Washington,/players/d/derliro01.html
DeMar DeRozan,2009,2019,10,1989-08-07,Shooting Guard,Guard,19.9,4.3,3.4,45.1,17.9,60.3,79.0,220.0,Right,0.0,University of Southern California,Compton ,Compton,California,/players/d/derozde01.html
Marcus Derrickson,2018,2019,1,1996-02-01,Power Forward,Forward,4.2,1.2,0.1,48.5,19.4,0.2,79.0,249.0,Right,0.0,Georgetown University,Brewster Academy ,Wolfeboro,New Hampshire,/players/d/derrima01.html
Dave Deutsch,1966,1967,1,1945-05-13,Point Guard,Guard,1.1,1.1,0.8,16.7,2.4,-0.5,73.0,170.0,Right,0.0,University of Rochester,Flushing ,Flushing,New York,/players/d/deutsda01.html
Corky Devlin,1955,1958,3,1931-12-21,Shooting Guard,Guard,7.1,2.1,2.1,36.6,11.7,3.8,77.0,195.0,Right,0.0,George Washington University,Central ,Newark,New Jersey,/players/d/devlico01.html
Hank DeZonie,1950,1951,1,1922-02-12,Center,Center,3.4,3.6,1.8,24.0,,-0.1,78.0,215.0,Right,0.0,Clark Atlanta University,,,,/players/d/dezonha01.html
