name,active_from,active_to,career_length,birth_date,position,trad_position,ppg,trb,ast,fgp,per,ws,height_inches,weight,shooting_hand,hof,college,hs_name,hs_city,hs_state,url
Alexander Volkov,1989,1992,3,1964-03-28,Center,Center,6.8,2.6,2.2,45.5,14.1,4.5,82.0,218.0,Right,0.0,,,,,/players/v/volkoal01.html
Whitey Von Nieda,1949,1950,1,1922-06-19,Point Guard,Guard,5.3,,2.4,35.7,,2.3,73.0,170.0,Right,0.0,Pennsylvania State University,Ephrata ,Ephrata,Pennsylvania,/players/v/vonniwh01.html
Noah Vonleh,2014,2019,5,1995-08-24,Power Forward,Forward,5.1,5.4,0.8,45.3,11.8,8.3,81.0,250.0,Right,0.0,Indiana University,New Hampton School ,New Hampton,New Hampshire,/players/v/vonleno01.html
Jake Voskuhl,2000,2009,9,1977-11-01,Center,Center,4.0,3.4,0.5,48.7,10.8,11.6,83.0,245.0,Right,0.0,University of Connecticut,Strake Jesuit College Prepatory ,Houston,Texas,/players/v/voskuja01.html
Danny Vranes,1981,1988,7,1958-10-29,Small Forward,Forward,5.1,3.9,1.2,49.6,9.3,15.3,79.0,210.0,Right,0.0,University of Utah,Skyline ,Salt Lake City,Utah,/players/v/vraneda01.html
Slavko Vranes,2003,2004,1,1983-01-30,Center,Center,0.0,0.0,0.0,0.0,-20.4,0.0,89.0,275.0,Right,0.0,,,,,/players/v/vranesl01.html
Stojko Vrankovic,1990,1999,9,1964-01-22,Center,Center,2.8,3.0,0.3,47.7,9.7,1.3,86.0,260.0,Right,0.0,,,,,/players/v/vrankst01.html
Brett Vroman,1980,1981,1,1955-12-25,Center,Center,3.1,2.3,0.8,37.0,11.8,0.1,84.0,220.0,Right,0.0,"University of California, Los Angeles, University of Nevada, Las Vegas",Provo ,Provo,Utah,/players/v/vromabr01.html
Jackson Vroman,2004,2006,2,1981-06-06,Power Forward,Forward,3.3,3.0,0.6,40.8,8.2,0.0,82.0,220.0,Right,0.0,Iowa State University,Viewmont ,Bountiful,Utah,/players/v/vromaja01.html
Nikola Vucevic,2011,2019,8,1990-10-24,Center,Center,15.7,10.1,2.4,50.2,20.3,41.7,84.0,260.0,Right,0.0,University of Southern California,Stoneridge Preparatory School ,Simi Valley,California,/players/v/vucevni01.html
Sasha Vujacic,2004,2017,13,1984-03-08,Point Guard,Guard,5.3,1.9,1.3,39.0,11.5,16.0,79.0,195.0,Right,0.0,,,,,/players/v/vujacsa01.html
Dwyane Wade,2003,2019,16,1982-01-17,Shooting Guard,Guard,22.0,4.7,5.4,48.0,23.5,120.7,76.0,220.0,Right,0.0,Marquette University,Richards ,Oak Lawn,Illinois,/players/w/wadedw01.html
Mark Wade,1987,1990,3,1965-10-15,Point Guard,Guard,0.7,1.3,3.0,15.0,4.9,-0.3,71.0,160.0,Left,0.0,"University of Oklahoma, University of Nevada, Las Vegas",Banning ,Los Angeles,California,/players/w/wadema01.html
Von Wafer,2005,2012,7,1985-07-21,Small Forward,Forward,5.3,1.2,0.7,42.0,11.8,3.3,77.0,210.0,Right,0.0,Florida State University,Heritage Christian Academy ,Cleveland,Texas,/players/w/wafervo01.html
Clint Wager,1949,1950,1,1920-01-20,Center,Center,2.3,,1.4,28.1,,1.5,78.0,210.0,Right,0.0,Saint Mary's University of Minnesota,Winona ,Winona,Minnesota,/players/w/wagercl01.html
Dajuan Wagner,2002,2007,5,1983-02-04,Shooting Guard,Guard,9.4,1.4,1.9,36.6,9.9,0.0,74.0,200.0,Right,0.0,University of Memphis,Camden ,Camden,New Jersey,/players/w/wagneda02.html
Danny Wagner,1949,1950,1,1922-08-01,Point Guard,Guard,6.3,,1.6,35.2,,0.6,72.0,170.0,Right,0.0,University of Texas at Austin,,,,/players/w/wagneda01.html
Milt Wagner,1987,1991,4,1963-02-20,Shooting Guard,Guard,4.1,0.7,1.4,42.2,10.6,0.4,77.0,185.0,Right,0.0,University of Louisville,Camden ,Camden,New Jersey,/players/w/wagnemi01.html
Moritz Wagner,2018,2019,1,1997-04-26,Center,Center,4.8,2.0,0.6,41.5,10.1,0.2,83.0,245.0,Right,0.0,University of Michigan,,,,/players/w/wagnemo01.html
Phillip Wagner,1968,1969,1,1945-12-18,Point Guard,Guard,3.0,1.9,1.2,26.8,0.5,-0.1,74.0,190.0,Right,0.0,Georgia Institute of Technology,,,,/players/w/wagneph01.html
Dion Waiters,2012,2019,7,1991-12-10,Shooting Guard,Guard,13.2,2.7,2.8,41.2,12.0,8.7,76.0,215.0,Right,0.0,Syracuse University,Burlington Life Center Academy ,Burlington,New Jersey,/players/w/waitedi01.html
Granville Waiters,1983,1988,5,1961-01-08,Center,Center,2.4,2.2,0.5,45.8,8.3,1.9,83.0,225.0,Right,0.0,Ohio State University,East ,Columbus,Ohio,/players/w/waitegr01.html
Andre Wakefield,1978,1980,2,1955-01-11,Shooting Guard,Guard,2.3,1.0,0.9,35.4,4.4,-1.1,75.0,175.0,Right,0.0,Loyola University of Chicago,Crane Technical Preparatory ,Chicago,Illinois,/players/w/wakefan01.html
Neal Walk,1969,1977,8,1948-07-29,Center,Center,12.6,7.7,2.1,45.9,16.9,30.3,82.0,220.0,Left,0.0,University of Florida,Miami Beach ,Miami Beach,Florida,/players/w/walkne01.html
Andy Walker,1976,1977,1,1955-03-25,Small Forward,Forward,4.5,1.9,0.8,46.2,13.0,0.7,76.0,190.0,Right,0.0,Niagara University,Long Island City ,Queens,New York,/players/w/walkean01.html
Antoine Walker,1996,2008,12,1976-08-12,Power Forward,Forward,17.5,7.7,3.5,41.4,16.0,38.1,80.0,224.0,Right,0.0,University of Kentucky,Mount Carmel ,Chicago,Illinois,/players/w/walkean02.html
Brady Walker,1948,1952,4,1921-03-15,Power Forward,Forward,7.0,5.4,1.4,38.0,15.5,6.9,78.0,205.0,Right,0.0,Brigham Young University,,,,/players/w/walkebr01.html
Chet Walker,1962,1975,13,1940-02-22,Small Forward,Forward,18.2,7.1,2.1,47.0,17.6,117.4,78.0,212.0,Right,1.0,Bradley University,Benton Harbor ,Benton Harbor,Michigan,/players/w/walkech01.html
Darrell Walker,1983,1993,10,1961-03-09,Point Guard,Guard,8.9,4.4,4.6,43.5,13.7,27.4,76.0,180.0,Right,0.0,University of Arkansas,Corliss ,Chicago,Illinois,/players/w/walkeda01.html
Foots Walker,1974,1984,10,1951-05-21,Point Guard,Guard,6.4,2.6,4.7,43.5,13.7,31.0,72.0,184.0,Right,0.0,State University of West Georgia,Southampton ,Southampton,New York,/players/w/walkefo01.html
Henry Walker,2008,2015,7,1987-10-09,Shooting Guard,Guard,6.0,2.2,0.8,44.6,10.8,5.0,78.0,220.0,Right,0.0,Kansas State University,North College Hill ,Cincinnati,Ohio,/players/w/walkebi01.html
Horace Walker,1961,1962,1,1937-04-17,Small Forward,Forward,6.7,7.2,1.1,33.9,10.2,0.3,75.0,210.0,Right,0.0,Michigan State University,Chester ,Chester,Pennsylvania,/players/w/walkeho01.html
Jimmy Walker,1967,1976,9,1944-04-08,Point Guard,Guard,16.7,2.7,3.5,46.1,14.4,42.9,75.0,195.0,Right,0.0,Providence College,Laurinburg Institute ,Laurinburg,North Carolina,/players/w/walkeji01.html
Kemba Walker,2011,2019,8,1990-05-08,Point Guard,Guard,19.8,3.8,5.5,41.8,19.3,48.5,73.0,184.0,Right,0.0,University of Connecticut,Rice ,New York,New York,/players/w/walkeke02.html
Kenny Walker,1986,1995,9,1964-08-18,Small Forward,Forward,7.0,4.0,0.7,48.5,11.9,17.9,80.0,210.0,Right,0.0,University of Kentucky,Crawford County ,Roberta,Georgia,/players/w/walkeke01.html
Lonnie Walker,2018,2019,1,1998-12-14,Shooting Guard,Guard,2.6,1.0,0.5,34.8,10.8,0.0,77.0,205.0,Right,0.0,University of Miami,Reading HS ,Reading,Pennsylvania,/players/w/walkelo01.html
