name,career_length,ppg,trb,ast,per,ws,hof_pred_log,hof_pred_log_proba
LeBron James,16,27.2,7.4,7.2,27.6,226.6,1,0.9999939857381637
Chris Paul,14,18.5,4.5,9.7,25.3,171.5,1,0.9994156645828782
Tim Duncan,19,19.0,10.8,3.0,24.2,206.4,1,0.9994082600788965
Dirk Nowitzki,21,20.7,7.5,2.4,22.4,206.3,1,0.9981098209577219
Kevin Durant,12,27.0,7.1,4.1,25.2,141.7,1,0.9980248497818691
Kevin Garnett,21,17.8,10.0,3.7,22.7,191.4,1,0.9960381388332162
James Harden,10,24.3,5.2,6.2,24.4,121.9,1,0.9953461985706844
Kobe Bryant,20,25.0,5.2,4.7,22.9,172.7,1,0.9943910630557561
Russell Westbrook,11,23.0,7.0,8.4,23.7,96.9,1,0.9825608165297166
Stephen Curry,10,23.5,4.5,6.6,23.8,102.9,1,0.9787519606634593
Dwight Howard,15,17.4,12.6,1.5,21.6,128.9,1,0.9484373613704231
Paul Pierce,19,19.7,5.6,3.5,19.7,150.0,1,0.9436332442928715
Pau Gasol,18,17.0,9.2,3.2,21.4,144.1,1,0.9390992436501396
Damian Lillard,7,23.5,4.2,6.3,21.4,70.3,1,0.9281692884883427
Dwyane Wade,16,22.0,4.7,5.4,23.5,120.7,1,0.9083214926623882
Blake Griffin,9,21.9,9.0,4.5,22.2,75.3,1,0.899938066588584
Anthony Davis,7,23.7,10.5,2.1,27.4,72.0,1,0.8900242193074877
LaMarcus Aldridge,13,19.6,8.4,2.0,20.9,107.0,1,0.8578469556648741
Chris Bosh,13,19.2,8.5,2.0,20.6,106.0,1,0.844782875082728
Karl-Anthony Towns,4,22.3,11.9,2.6,25.0,45.4,1,0.8354152665236962
Carmelo Anthony,16,24.0,6.5,3.0,20.3,101.0,1,0.738229007259386
Giannis Antetokounmpo,6,18.8,8.3,4.1,21.9,53.2,1,0.6972592938465167
Kevin Love,11,18.3,11.3,2.3,21.9,78.2,1,0.6794425253703523
Ben Simmons,2,16.4,8.5,7.9,20.0,17.5,1,0.6646605228626986
Kyrie Irving,8,22.2,3.6,5.7,22.1,58.4,1,0.6591912144647094
Deron Williams,12,16.3,3.1,8.1,18.2,77.3,1,0.6242230703570494
Nikola Jokic,4,16.3,9.6,5.1,24.8,38.9,1,0.5966087462577273
Paul George,9,19.8,6.4,3.3,19.2,65.2,1,0.5920990476581572
Joel Embiid,3,24.3,11.4,3.2,24.5,16.8,1,0.5909731817540713
Luka Doncic,1,21.2,7.8,6.0,19.6,4.9,1,0.5672337977339083
John Wall,9,19.0,4.3,9.2,19.4,44.3,1,0.5428765300435718
Marc Gasol,11,15.0,7.7,3.4,18.5,79.5,1,0.5389845433617113
Al Horford,12,14.1,8.4,3.2,18.9,85.7,1,0.5296728139828242
Kyle Lowry,13,14.4,4.3,6.1,18.4,86.7,1,0.510715250228051
Andre Drummond,7,14.1,13.7,1.2,22.1,56.4,0,0.4853536172929647
Jimmy Butler,8,16.7,4.9,3.5,20.0,66.1,0,0.4812307301839064
Elton Brand,17,15.9,8.5,2.1,20.5,109.6,0,0.47049446138038226
Trae Young,1,19.1,3.7,8.1,17.0,3.3,0,0.4609249760175651
Kawhi Leonard,8,17.7,6.3,2.4,22.6,65.8,0,0.4458191196552988
Tony Parker,18,15.5,2.7,5.6,18.2,111.3,0,0.43440530789204945
Amar'e Stoudemire,14,18.9,7.8,1.2,21.8,92.5,0,0.43317294326331585
Kemba Walker,8,19.8,3.8,5.5,19.3,48.5,0,0.42207615130051424
DeMarcus Cousins,9,21.2,10.9,3.2,22.4,44.1,0,0.41574614552612427
Vince Carter,21,17.2,4.4,3.2,18.8,125.5,0,0.37456345673939945
Andre Iguodala,15,12.1,5.1,4.4,15.7,96.4,0,0.35918374003505044
Paul Millsap,13,14.1,7.4,2.3,19.0,88.2,0,0.35791925970604693
DeMar DeRozan,10,19.9,4.3,3.4,17.9,60.3,0,0.3457987539065282
Andre Miller,17,12.5,3.7,6.5,17.4,100.8,0,0.34017329189609957
DeAndre Jordan,11,9.6,10.9,0.9,18.5,83.4,0,0.323169623117546
Donovan Mitchell,2,22.1,3.9,3.9,16.9,10.2,0,0.3091107891822757
Manu Ginobili,16,13.3,3.5,3.8,20.2,106.4,0,0.28858249332238456
Mike Conley,12,14.9,3.0,5.7,17.7,71.4,0,0.27376655431682756
David Lee,12,13.5,8.8,2.2,19.1,76.0,0,0.2706135500967974
Rudy Gobert,6,11.1,10.5,1.3,21.5,52.8,0,0.2524432018182368
Bradley Beal,7,19.8,3.9,3.7,17.1,36.4,0,0.22545993232071715
Isaiah Thomas,8,18.6,2.5,5.1,20.3,45.3,0,0.21967939596965444
Klay Thompson,8,19.5,3.5,2.3,16.4,46.8,0,0.20206514652702168
Nikola Vucevic,8,15.7,10.1,2.4,20.3,41.7,0,0.19443004619021984
Draymond Green,7,9.1,6.9,4.9,15.3,43.3,0,0.175666847501465
Deandre Ayton,1,16.3,10.3,1.8,20.5,5.8,0,0.1755969039818707
Devin Booker,4,21.4,3.5,4.2,16.1,9.8,0,0.1637100283381783
Rajon Rondo,13,10.4,4.8,8.5,16.2,58.4,0,0.14969384719143675
David West,15,13.6,6.4,2.2,18.6,85.9,0,0.14087718208347158
Kyle Kuzma,2,17.3,5.9,2.2,14.1,7.0,0,0.13526713310589344
Lonzo Ball,2,10.0,6.2,6.4,12.2,3.5,0,0.13512380285450115
Brook Lopez,11,17.3,6.5,1.5,19.9,60.1,0,0.13311429244231734
De'Aaron Fox,2,14.6,3.3,5.9,15.1,5.0,0,0.13030019521129296
Victor Oladipo,6,17.5,4.6,4.0,16.7,24.2,0,0.12717254472075662
Joe Johnson,17,16.0,4.0,3.9,15.4,82.8,0,0.1202389994012515
Ty Lawson,8,12.7,2.7,6.0,17.2,42.1,0,0.11916252342389726
Zach Randolph,17,16.6,9.1,1.8,19.3,81.1,0,0.11915252415637605
Serge Ibaka,10,12.3,7.3,0.7,17.2,63.9,0,0.11771827526876254
Ricky Rubio,8,11.1,4.2,7.7,15.8,32.2,0,0.11443452401110366
Jrue Holiday,10,15.6,3.8,6.4,16.9,39.1,0,0.11401511613920313
Lauri Markkanen,2,16.7,8.2,1.3,16.3,6.1,0,0.11346029604072809
Julius Randle,5,15.4,8.9,2.7,17.7,17.8,0,0.11283284584016881
Gordon Hayward,9,15.1,4.2,3.4,17.5,47.9,0,0.1113166937805461
Greg Monroe,9,13.2,8.3,2.1,20.1,49.7,0,0.10740166945096313
Al Jefferson,14,15.7,8.4,1.5,20.6,71.0,0,0.10380664902775308
Kristaps Porzingis,3,17.8,7.1,1.3,18.3,12.1,0,0.10186081474255075
Luol Deng,15,14.8,6.1,2.3,15.4,74.0,0,0.09749159562216295
Jayson Tatum,2,14.8,5.5,1.9,15.2,12.0,0,0.09740863421073746
Jason Terry,19,13.4,2.3,3.8,16.2,102.0,0,0.09618184537514782
John Collins,2,14.6,8.4,1.6,20.1,11.4,0,0.09598186706553405
Jonas Valanciunas,7,12.1,8.5,0.8,19.9,45.3,0,0.0931315949699157
CJ McCollum,6,17.8,3.1,2.9,17.2,27.9,0,0.09023409589155448
Collin Sexton,1,16.7,2.9,3.0,12.0,-0.6,0,0.0888977679437537
Tobias Harris,8,15.4,6.0,1.9,16.7,39.4,0,0.08754839653861277
Khris Middleton,7,15.7,4.4,3.2,15.7,31.0,0,0.08710558165830963
Jeff Teague,10,12.7,2.5,5.8,17.1,48.3,0,0.08417355483474583
Nicolas Batum,11,11.8,5.3,3.8,14.9,54.1,0,0.08347859222040259
Derrick Rose,11,18.8,3.5,5.6,18.1,37.2,0,0.08286604507995787
Dennis Smith,2,14.5,3.4,5.0,12.6,-0.7,0,0.08270621677631323
Tyson Chandler,18,8.4,9.2,0.8,16.2,101.5,0,0.0815181080097169
D'Angelo Russell,4,16.5,3.7,5.1,16.0,6.6,0,0.08023362857013938
Darren Collison,10,12.5,2.7,5.0,16.2,49.9,0,0.07935198304704683
Kevin Martin,12,17.4,3.2,1.9,17.7,61.3,0,0.07634985805821617
Jamal Murray,3,14.8,3.5,3.4,15.0,12.0,0,0.07615324549986933
Andrew Wiggins,5,19.4,4.3,2.2,14.5,13.0,0,0.07553361075744815
Joakim Noah,12,8.8,9.1,2.8,17.6,61.8,0,0.07270346782781624
Rudy Gay,13,17.6,5.9,2.2,16.8,54.9,0,0.07044867918385775
Goran Dragic,11,13.7,3.1,4.8,17.1,51.0,0,0.07018437303522645
Elfrid Payton,5,11.1,4.4,6.6,15.2,13.3,0,0.06851498253926383
Clint Capela,5,12.0,9.2,0.9,22.2,31.4,0,0.06848599343250661
Donte Grantham,1,0.0,0.0,0.0,-38.1,0.0,0,0.06795579804500036
Marvin Bagley,1,14.9,7.6,1.0,18.9,3.6,0,0.06566476760532726
Steven Adams,6,9.7,7.4,1.0,16.7,38.7,0,0.06158949764189452
George Hill,11,11.2,3.1,3.2,14.9,59.9,0,0.06154284312217539
Eric Bledsoe,9,14.1,3.9,4.8,18.1,37.0,0,0.06117658296656606
Thaddeus Young,12,13.4,6.0,1.7,16.4,59.7,0,0.060628631211171756
Dario Saric,3,12.7,6.2,2.1,14.0,11.2,0,0.06059687756928409
Myles Turner,4,12.9,6.7,1.2,17.4,22.1,0,0.059716691191184064
Malcolm Brogdon,3,12.8,3.5,3.6,15.7,13.4,0,0.05953288684434499
Danilo Gallinari,11,15.9,4.9,2.0,16.9,50.4,0,0.059309036967226336
Monta Ellis,12,17.8,3.5,4.6,16.0,41.9,0,0.05926849994270104
Brandon Ingram,3,13.9,4.7,2.9,11.7,4.5,0,0.05420072462420258
Derrick Favors,9,11.6,7.2,1.1,18.9,49.5,0,0.05281300384535394
Bogdan Bogdanovic,2,12.9,3.1,3.5,13.8,5.6,0,0.05217234934563999
Brandon Jennings,9,14.1,3.0,5.7,15.7,29.9,0,0.050272280879659584
Wesley Matthews,10,13.7,3.1,2.2,13.3,47.8,0,0.04823559655420552
Buddy Hield,3,14.9,4.0,2.0,15.4,10.0,0,0.046229003819318916
Harrison Barnes,7,13.6,4.9,1.5,13.3,29.7,0,0.04331910871777187
Aaron Gordon,5,12.5,6.2,2.2,15.3,18.0,0,0.04304911243610176
Kevin Knox,1,12.8,4.5,1.1,8.7,-1.3,0,0.04202077212501366
Domantas Sabonis,3,10.4,6.8,1.9,15.8,13.1,0,0.04187556770841916
Josh Richardson,4,12.1,3.2,2.9,12.8,15.7,0,0.04164685513890949
Tristan Thompson,8,9.2,8.6,0.9,15.4,40.0,0,0.04124234343868659
Marcin Gortat,12,9.9,7.9,1.1,17.1,61.3,0,0.04120153878421317
Richard Jefferson,17,12.6,4.0,2.0,14.4,83.0,0,0.040761756123629075
Wendell Carter,1,10.3,7.0,1.8,15.2,1.9,0,0.04004210859180199
Luis Scola,10,12.0,6.7,1.6,16.3,45.7,0,0.039841400071192724
Shai Gilgeous-Alexander,1,10.8,2.8,3.3,13.4,3.3,0,0.03983198652617159
Tyreke Evans,10,15.7,4.6,4.8,17.1,28.4,0,0.038317857375135406
Jaren Jackson,1,13.8,4.7,1.1,16.4,3.3,0,0.03816009780379544
Hassan Whiteside,9,13.4,11.4,0.6,24.1,36.8,0,0.03683656223034986
Kevin Huerter,1,9.7,3.3,2.9,10.1,1.5,0,0.036774320585928603
Kenneth Faried,8,11.4,8.1,1.0,19.7,38.8,0,0.03660837328399171
Josh Smith,14,14.5,7.4,3.1,17.4,51.0,0,0.03645319421496264
Zach LaVine,5,16.1,3.4,3.5,14.8,8.0,0,0.03640594675478063
Jabari Parker,5,15.1,5.7,2.1,16.2,11.6,0,0.03522432198327957
Pascal Siakam,3,10.1,5.1,2.0,16.1,15.5,0,0.03395623039448492
Enes Kanter,8,11.9,7.6,0.8,20.6,39.6,0,0.03341908157500353
Reggie Jackson,8,12.9,3.0,4.4,16.1,28.2,0,0.03282069449303906
Nikola Mirotic,5,12.3,5.9,1.3,16.7,20.8,0,0.031892273921217885
Kirk Hinrich,13,10.9,2.9,4.8,12.8,52.5,0,0.031875516208460686
Otto Porter,6,11.0,5.0,1.5,15.6,29.1,0,0.031333085021744006
Chandler Parsons,8,12.8,4.5,2.8,14.7,29.0,0,0.030915228003324156
Mason Plumlee,6,8.5,6.3,2.2,17.8,31.0,0,0.030798654481419854
Jusuf Nurkic,5,11.6,8.0,1.9,19.1,16.4,0,0.030662856411131006
Jarrett Allen,2,9.6,7.0,1.0,18.1,11.9,0,0.03064165922161524
Taj Gibson,10,9.8,6.4,1.0,15.5,49.8,0,0.029946528366542616
Marcus Smart,5,9.3,3.5,3.9,11.8,16.2,0,0.028837218887364895
Willie Cauley-Stein,4,10.1,6.4,1.6,17.0,17.4,0,0.028542421785891788
Bam Adebayo,2,8.0,6.5,1.9,17.0,11.0,0,0.028534648937862332
Caris LeVert,3,11.1,3.6,3.4,13.8,5.8,0,0.028492863149997386
Tayshaun Prince,14,11.1,4.3,2.4,13.7,63.1,0,0.027968978830759262
Dennis Schroder,6,13.4,2.7,4.6,14.8,13.1,0,0.02786972906430544
Joe Ingles,5,8.0,3.1,3.4,12.5,23.1,0,0.027864974083859198
Jared Sullinger,5,10.8,7.5,1.8,16.2,15.3,0,0.027435300321480453
Xavier Rathan-Mayes,1,5.8,1.0,3.6,0.9,-0.4,0,0.02733784847881666
Bojan Bogdanovic,5,13.3,3.4,1.4,13.4,18.4,0,0.026675914524631465
Jalen Brunson,1,9.3,2.3,3.2,12.8,2.6,0,0.026609292999388023
Josh Jackson,2,12.3,4.5,1.9,11.2,-2.4,0,0.02578647485368987
Spencer Dinwiddie,5,11.0,2.6,4.5,14.7,13.5,0,0.025582938140315977
Robert Covington,6,12.7,5.5,1.6,13.5,17.8,0,0.02553220057694886
Allonzo Trier,1,10.9,3.1,1.9,12.2,0.9,0,0.025470489045487734
Kentavious Caldwell-Pope,6,11.9,3.3,1.6,12.1,23.8,0,0.02484158428625766
Jordan Clarkson,5,14.7,3.2,2.7,15.3,10.5,0,0.02407722021074829
Patrick Beverley,7,9.0,4.3,3.5,12.5,24.8,0,0.02387668641399015
Aaron Jackson,1,8.0,3.0,1.0,2.4,0.0,0,0.02371326606411568
Monte Morris,2,10.1,2.3,3.6,16.4,6.4,0,0.023598295219222028
