name,career_length,ppg,trb,ast,per,ws,hof_pred_log,hof_pred_log_proba
Marquese Chriss,3,7.6,4.5,0.8,11.4,2.3,0,0.007244105558263261
Donte DiVincenzo,1,4.9,2.4,1.1,9.1,0.6,0,0.007173968991243971
Alex Len,6,7.9,6.3,0.8,15.0,15.6,0,0.007100275575390875
Jamil Wilson,1,7.0,2.1,0.7,11.4,0.5,0,0.007098561190086105
Courtney Lee,11,9.7,2.7,1.7,12.2,38.7,0,0.00707059343183408
Semaj Christon,1,2.9,1.4,2.0,5.7,0.1,0,0.007036427147667992
Mike Miller,17,10.6,4.2,2.6,14.3,60.7,0,0.006972224746948055
Torrey Craig,2,5.2,3.4,0.9,10.2,3.9,0,0.006961622577071186
Dorian Finney-Smith,3,5.9,3.7,1.0,9.3,4.8,0,0.006933018267348526
Terrence Ross,7,10.5,2.8,1.1,12.6,19.2,0,0.006908751435160843
Tiago Splitter,7,7.9,5.0,1.2,17.9,25.3,0,0.006855577575630035
Johnathan Williams,1,6.5,4.1,0.5,15.1,1.0,0,0.006847821279483436
Aaron Holiday,1,5.9,1.3,1.7,11.9,0.9,0,0.006751696912283241
Hollis Thompson,4,7.7,3.1,1.1,9.6,6.5,0,0.006743597682606
Allen Crabbe,6,9.5,2.9,1.2,11.1,13.8,0,0.006698481788137805
Danuel House,3,8.2,3.4,1.0,12.3,2.9,0,0.0066875117303144905
Jonah Bolden,1,4.7,3.8,0.9,12.7,1.4,0,0.0066794440452422965
Gerald Henderson,8,11.2,3.2,1.9,13.4,18.3,0,0.006677769710486754
Malik Monk,2,7.9,1.5,1.5,11.2,0.3,0,0.006675151271962888
Andrew White,1,4.6,2.3,0.4,5.8,-0.1,0,0.00666682983296012
Wilson Chandler,12,12.9,5.3,1.8,13.0,28.3,0,0.006651190129315175
Jaylen Adams,1,3.2,1.8,1.9,7.6,0.1,0,0.00661982022374822
Theo Pinson,1,4.5,2.0,1.2,8.1,0.0,0,0.006618139238420292
Rawle Alkins,1,3.7,2.6,1.3,8.1,-0.1,0,0.006612844062101431
Tyler Dorsey,2,6.7,2.3,1.3,10.5,1.0,0,0.006587363196838376
Langston Galloway,5,8.2,2.6,1.7,11.4,10.7,0,0.006561258245824251
Arron Afflalo,11,10.8,2.9,1.8,11.9,33.5,0,0.006504732029391357
Willy Hernangomez,3,7.0,5.6,1.1,19.8,7.8,0,0.0065014976159270795
Myke Henry,1,5.4,1.9,1.1,9.7,0.1,0,0.006501264575021721
DeAndre' Bembry,3,6.3,3.3,1.9,10.0,0.8,0,0.006474822495574486
Trey Lyles,4,7.6,3.9,1.1,13.2,8.1,0,0.00641965584893525
Kendall Marshall,4,5.0,1.6,4.9,10.7,1.0,0,0.0063808367836240745
Kyle Anderson,5,5.3,3.9,1.9,13.5,15.4,0,0.006303493844743866
Keita Bates-Diop,1,5.0,2.8,0.6,9.6,0.3,0,0.006290633082179449
